it,loss,loss_res,loss_bcs,loss_ic,loss_norm,l2,lr
1,833.1,0.7003,0.0,1.041,0.9286,1.032,0.001
2,809.3,0.6532,0.0,1.012,0.941,1.032,0.001
3,793.0,0.6273,0.0,0.9913,0.9497,1.032,0.001
4,782.2,0.6387,0.0,0.9778,0.9553,1.032,0.001
5,775.0,0.7036,0.0,0.9687,0.9591,1.032,0.001
6,769.5,0.7039,0.0,0.9619,0.9621,1.032,0.001
7,764.3,0.7594,0.0,0.9554,0.965,1.032,0.001
