timestamp,potential,solver,seed,tag,run_dir,n_params_total,n_params_quantum,n_params_classical,epochs,lr,N_f,N_b,N_0,dtype,device,arch_repr,q_ansatz,encoding,num_qubits,num_quantum_layers,classic_network,has_exact,l2_rel_psi_T,l2_rel_prob_T,bdry_max_abs_psi_xmin,bdry_max_abs_psi_xmax,metrics_json
2026-05-01T15:51:09,unknown,Classical,0,bf_ho_2-64-64-64-2_seed2026,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260501-154952_seed0_bf_ho_2-64-64-64-2_seed2026,8642,,,1500,0.001,,,,float64,cpu,"PINN(classic=[2, 64, 64, 64, 2])",,,,,"[2, 64, 64, 64, 2]",True,0.025683737128915196,0.020071228750138597,0.016250282538612482,0.010137121965033566,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\Classical\20260501-154952_seed0_bf_ho_2-64-64-64-2_seed2026\artifacts\metrics_min.json
2026-05-03T16:51:03,unknown,DV,0,bf_box_DV_circ19_e1500_8q_2l_seed2026,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260503-113031_seed0_bf_box_DV_circ19_e1500_8q_2l_seed2026,1450,32,1418,1500,0.001,,,,float32,cpu,"DV(q=8, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,8,2,"[2, 64, 2]",True,0.0016377551946789026,0.0013969367137178779,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260503-113031_seed0_bf_box_DV_circ19_e1500_8q_2l_seed2026\artifacts\metrics_min.json
2026-05-05T16:18:27,unknown,DV,0,bf_box_DV_circ19_e1500_8q_2l_seed123,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260505-112055_seed0_bf_box_DV_circ19_e1500_8q_2l_seed123,1450,32,1418,1500,0.001,,,,float32,cpu,"DV(q=8, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,8,2,"[2, 64, 2]",True,0.00871126540005207,0.009579760022461414,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260505-112055_seed0_bf_box_DV_circ19_e1500_8q_2l_seed123\artifacts\metrics_min.json
2026-05-07T15:23:41,unknown,DV,0,bf_box_DV_circ19_e1500_8q_2l_seed42,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260507-101802_seed0_bf_box_DV_circ19_e1500_8q_2l_seed42,1450,32,1418,1500,0.001,,,,float32,cpu,"DV(q=8, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,8,2,"[2, 64, 2]",True,0.00456211855635047,0.00316280173137784,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260507-101802_seed0_bf_box_DV_circ19_e1500_8q_2l_seed42\artifacts\metrics_min.json
2026-05-11T15:32:07,unknown,DV,0,bf_box_DV_circ19_e1500_8q_2l_seed13,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260511-103334_seed0_bf_box_DV_circ19_e1500_8q_2l_seed13,1450,32,1418,1500,0.001,,,,float32,cpu,"DV(q=8, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,8,2,"[2, 64, 2]",True,0.0037601671647280455,0.001975835533812642,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260511-103334_seed0_bf_box_DV_circ19_e1500_8q_2l_seed13\artifacts\metrics_min.json
2026-05-12T12:23:27,unknown,DV,0,bf_box_DV_circ19_e1500_8q_2l_seed0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260512-073032_seed0_bf_box_DV_circ19_e1500_8q_2l_seed0,1450,32,1418,1500,0.001,,,,float32,cpu,"DV(q=8, L=2, ansatz=sim_circ_19, enc=angle, classic=[2, 64, 2])",sim_circ_19,angle,8,2,"[2, 64, 2]",True,0.0023411372676491737,0.002669738605618477,0.0,0.0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\box\DV\20260512-073032_seed0_bf_box_DV_circ19_e1500_8q_2l_seed0\artifacts\metrics_min.json
2026-05-13T07:23:06,unknown,DV,0,bf_ho_DV__e1500_w300_4q_2l_batch64_seed0,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\DV\20260513-061309_seed0_bf_ho_DV__e1500_w300_4q_2l_batch64_seed0,934,,,1500,0.001,,,,float32,cpu,"DV(q=4, L=2, ansatz=layered_circuit, enc=angle, classic=[2, 64, 2])",layered_circuit,angle,4,2,"[2, 64, 2]",True,0.007035141345113516,0.0016131069278344512,0.012699105776846409,0.011925588361918926,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\DV\20260513-061309_seed0_bf_ho_DV__e1500_w300_4q_2l_batch64_seed0\artifacts\metrics_min.json
2026-05-14T11:02:05,unknown,DV,0,bf_ho_DV__e1500_w300_4q_2l_batch64_seed13,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\DV\20260514-095423_seed0_bf_ho_DV__e1500_w300_4q_2l_batch64_seed13,934,,,1500,0.001,,,,float32,cpu,"DV(q=4, L=2, ansatz=layered_circuit, enc=angle, classic=[2, 64, 2])",layered_circuit,angle,4,2,"[2, 64, 2]",True,0.08593712002038956,0.006781818810850382,0.011027161963284016,0.01602805405855179,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\DV\20260514-095423_seed0_bf_ho_DV__e1500_w300_4q_2l_batch64_seed13\artifacts\metrics_min.json
2026-05-14T14:59:37,unknown,DV,0,bf_ho_DV__e1500_w300_4q_2l_batch64_seed42,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\DV\20260514-135027_seed0_bf_ho_DV__e1500_w300_4q_2l_batch64_seed42,934,,,1500,0.001,,,,float32,cpu,"DV(q=4, L=2, ansatz=layered_circuit, enc=angle, classic=[2, 64, 2])",layered_circuit,angle,4,2,"[2, 64, 2]",True,0.0385085754096508,0.00950535573065281,0.013967261649668217,0.015108674764633179,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\DV\20260514-135027_seed0_bf_ho_DV__e1500_w300_4q_2l_batch64_seed42\artifacts\metrics_min.json
2026-05-14T16:55:30,unknown,DV,0,bf_ho_DV__e1500_w300_4q_2l_batch64_seed123,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\DV\20260514-154907_seed0_bf_ho_DV__e1500_w300_4q_2l_batch64_seed123,934,,,1500,0.001,,,,float32,cpu,"DV(q=4, L=2, ansatz=layered_circuit, enc=angle, classic=[2, 64, 2])",layered_circuit,angle,4,2,"[2, 64, 2]",True,0.03204505145549774,0.00560540147125721,0.023359429091215134,0.014908301644027233,C:\Users\mateo garcia\Downloads\repo\QPINNs-2026\results\ho\DV\20260514-154907_seed0_bf_ho_DV__e1500_w300_4q_2l_batch64_seed123\artifacts\metrics_min.json
